id,name,abbreviation,fips_state,assoc_press,census_region_name
1,Alabama,AL,1,Ala.,South
2,Alaska,AK,2,Alaska,West
3,Arizona,AZ,4,Ariz.,West
4,Arkansas,AR,5,Ark.,South
5,California,CA,6,Calif.,West
6,Colorado,CO,8,Colo.,West
7,Connecticut,CT,9,Conn.,Northeast
8,Delaware,DE,10,Del.,South
9,Florida,FL,12,Fla.,South
10,Georgia,GA,13,Ga.,South
11,Hawaii,HI,15,Hawaii,West
12,Idaho,ID,16,Idaho,West
13,Illinois,IL,17,Ill.,Midwest
14,Indiana,IN,18,Ind.,Midwest
15,Iowa,IA,19,Iowa,Midwest
16,Kansas,KS,20,Kan.,Midwest
17,Kentucky,KY,21,Ky.,South
18,Louisiana,LA,22,La.,South
19,Maine,ME,23,Maine,Northeast
20,Maryland,MD,24,Md.,South
21,Massachusetts,MA,25,Mass.,Northeast
22,Michigan,MI,26,Mich.,Midwest
23,Minnesota,MN,27,Minn.,Midwest
24,Mississippi,MS,28,Miss.,South
25,Missouri,MO,29,Mo.,Midwest
26,Montana,MT,30,Mont.,West
27,Nebraska,NE,31,Nebr.,Midwest
28,Nevada,NV,32,Nev.,West
29,New Hampshire,NH,33,N.H.,Northeast
30,New Jersey,NJ,34,N.J.,Northeast
31,New Mexico,NM,35,N.M.,West
32,New York,NY,36,N.Y.,Northeast
33,North Carolina,NC,37,N.C.,South
34,North Dakota,ND,38,N.D.,Midwest
35,Ohio,OH,39,Ohio,Midwest
36,Oklahoma,OK,40,Okla.,South
37,Oregon,OR,41,Ore.,West
38,Pennsylvania,PA,42,Pa.,Northeast
39,Rhode Island,RI,44,R.I.,Northeast
40,South Carolina,SC,45,S.C.,South
41,South Dakota,SD,46,S.D.,Midwest
42,Tennessee,TN,47,Tenn.,South
43,Texas,TX,48,Texas,South
44,Utah,UT,49,Utah,West
45,Vermont,VT,50,Vt.,Northeast
46,Virginia,VA,51,Va.,South
47,Washington,WA,53,Wash.,West
48,West Virginia,WV,54,W.Va.,South
49,Wisconsin,WI,55,Wis.,Midwest
50,Wyoming,WY,56,Wyo.,West
51,Washington DC,DC,11,,South
